class	typeFreq	suffix_sg.pfv	suffix_sg.ipfv	suffix_pl.pfv	suffix_pl.ipfv
NA	1	ot	am	tox	tox
NA	1	an	an	tox	tox
NA	1	#	ɬ	tox	tox
NA	1	ɬ	ɬ	tox	tox
NA	5	#	ta	tox	tox
NA	1	ot	ta	tox	tox
NA	6	ta	ta	tox	tox
NA	3	tim	ta	tox	tox
NA	1	tim	tax	tox	tox
NA	37	#	tim	tox	tox
NA	1	ot	tim	tox	tox
NA	2	t	tim	tox	tox
NA	1	ta	tim	tox	tox
NA	2	tim	tim	tox	tox
NA	1	#	tox	tox	tox
NA	4	#	tim	tx	tx
NA	1	#	i	x	x
NA	11	#	tim	x	x
NA	1	#	x	x	x
NA	1	#	tim	#	xam
NA	4	#	tim	ikoɬ	xam
NA	1	t	tim	ikoɬ	xam
NA	1	#	tim	k	xam
NA	1	#	tim	kox	xam
NA	2	#	tim	tam	xam
NA	2	#	tim	tax	xam
NA	1	ta	tim	tax	xam
NA	3	#	tim	tox	xam
NA	1	t	tim	tox	xam
NA	1	#	ikoɬ	tx	xam
NA	3	t	tim	tx	xam
NA	1	#	#	x	xam
NA	16	#	tim	x	xam
NA	1	t	tim	x	xam
NA	5	#	tim	xam	xam
NA	1	#	x	xam	xam
NA	1	#	am	xox	xam
NA	1	#	tim	χam	xam
NA	4	#	tim	k	xox
NA	1	ta	k	xox	xox
NA	1	x	kaɬ	xox	xox
NA	1	#	tim	xox	xox
NA	1	t	tim	xox	xox
NA	2	#	tim	#	χam
NA	1	#	#	ikoɬ	χam
NA	5	#	tim	tax	χam
NA	2	#	tim	x	χam
NA	29	#	tim	χam	χam
NA	1	t	tim	χam	χam
